順位,職業,キャラクター,レベル,ポイント
,,syouitirou,1767,32037
,,ニャンニャンマン,905,9453
,,ＤＭＺ,1460,6645
4,,ＬＡ：ＮＡ,1737,6155
5,,ミルリ,1798,5056
6,,きぃちゃ,666,4736
7,,嶋太郎,1511,4690
8,,叢雲のジュウザ,1187,4224
9,,DarkGradation,1751,4014
10,,☆もいちゃん☆,1447,3810
11,,新羅三郎,1704,3135
12,,死神のJ,1390,3111
13,,おばさんULT,1701,2983
14,,エルスト,1057,2890
15,,†Einzbern,1191,2839
16,,Mｉnelva,1724,2607
17,,DancingBravo,1723,2581
18,,☆夢露くん☆,1243,2559
19,,毒おじや,1593,2390
20,,ピアッサ,967,2223
21,,段四郎,1445,2138
22,,ブレイブスカイ,1763,2120
23,,ペったー,1541,2108
24,,チャットとろい,1040,2092
25,,_Jun_,1722,2068
26,,pikashu,1764,2054
27,,八番手,1773,1990
28,,jun53,920,1972
29,,チャット入力苦手,1013,1962
30,,私は返事出来ん,1075,1929
31,,武神゜,1790,1922
32,,雷神の弓,1670,1905
33,,ゆめごん,1741,1867
34,,ソルディエンヌ,1723,1857
35,,gingingin,1737,1837
36,,†金獅子姫†,1703,1836
37,,２２３２,1648,1828
38,,ナットウキナーゼ,1402,1815
39,,☆セントレア☆,1751,1791
40,,マーキψ,1573,1770
41,,啓士郎,1726,1752
42,,ブルーマンジェロ,1028,1744
43,,愛知のトッシー,1224,1734
44,,らぶのーと♪,1781,1733
45,,AllRangeClear☆,1753,1724
46,,超越ゆめんごⅤ,1602,1696
47,,kino2,913,1689
48,,スガサワ,1708,1686
49,,ティダ射手,1419,1685
50,,LOVEマシーン♪,1720,1659
51,,楼麗莱,951,1654
52,,北国ウルフ,1506,1638
53,,PersephoneP,1610,1628
54,,醤油取って,1719,1576
55,,TS020,1283,1567
56,,苺桜三玖,1619,1560
57,,δsnowδ,1735,1558
58,,バク天,960,1556
59,,（とち）,1175,1550
60,,レミニセンス,1726,1545
61,,バイマン先生,1174,1542
62,,HIMAMA,1784,1539
63,,tururu,1019,1537
64,,浅研,1671,1522
65,,れっどしーふ,1732,1518
66,,Invisible元老,908,1509
67,,newkoara,1400,1508
68,,＋ゆい＋,1682,1504
69,,モルディブ。,1713,1495
70,,Lionel・MessiⅡ,1748,1492
71,,エクアカイザー,1132,1479
72,,いみそ～れ,1373,1466
73,,高嶋彩,670,1466
74,,neon43,1782,1459
75,,megumi♪,1708,1453
76,,バッジオ,1405,1445
77,,銀九朗,1660,1444
78,,移動する点Ｐ,1726,1442
79,,∬Veloce∬,1728,1440
80,,奇襲,1300,1438
81,,チャットがおそい,1034,1434
82,,クレモル,1745,1414
83,,ЖHeliosЖ,1663,1403
84,,腰痛の爺,1759,1399
85,,∬purposefire∬,1785,1394
86,,millay,1669,1394
87,,クイーンギャング,1414,1394
88,,・まゆしぃ・,1591,1384
89,,poou,914,1382
90,,＄reef＄,1602,1374
91,,もげしふ,1710,1373
92,,リンチェンコ,1734,1370
93,,小作人,1732,1368
94,,きゃぴ☆,1760,1364
95,,堕天使ヨハネ,1701,1352
96,,ﾏｰｺﾞｯﾄ,1789,1341
97,,甄姫T,1467,1337
98,,お前もう船降りろ,1712,1333
99,,ダーシュ！,1713,1318
100,,Ψmo☆moΨ,1368,1316
