,ギルド名,ギルドマスター,ギルドレベル,GHレベル
1,武神,☆彡スペランカー,200,5
2,‡ＦＯＸ　大帝国‡,†エス†,200,4
3,EternalKnight,A・シャリアール,200,4
4,太陽,タメヴィアータ。,200,4
5,羽翼学園,リヤン,200,3
6,とりのさと～,永・凹・阿阿瑠,200,3
7,∮妖精の尻尾∮,狼輝,200,3
8,【自宅警備連合軍】,キャロりん,200,3
9,レナス,なおちゃんβ,200,3
10,大犬座,ちんき。,200,3
11,To_the_future,趣味は・・・矢,200,3
12,CYMBALS,Bィザード,200,3
13,三顧の騎士,＋カイト＋,200,3
14,エマニエル夫人と愉快な,アオサちゃん,200,2
15,三匹が斬る！（ソロ）,てんぐさちゃん♪,200,2
16,むーんらいとそなた,もぉ～たん♪,200,2
17,UNBEATABLE,新撰組近藤,200,2
18,おやつは３Ｍまで。,ぶりり姫の野望,200,2
19,ⅹFlowerDeLuneⅹ,ドラゴン愛,200,2
20,臥竜鳳雛連合,ホボ・ブラジル,200,2
21,美女と野獣♪ｗ,BlueMary,200,2
22,まったりミカン狩り♪,虻ぅ,200,2
23,猫の事務所,メリデ♪,200,2
24,極運ギルド,黒魔術師れね,200,2
25,Dear_my_Princess,ぺコリ－ノ,200,2
26,私立百花王学園,黄泉月るな,200,2
27,ぐーたら村。,Destron,200,2
28,カテキンウォーター,kuromasan♪,200,2
29,我々は鉄槌を下す,成歩堂みぬき,200,2
30,ZECT,§魔神§,200,2
31,真夏の,アマランテ,200,2
32,ElysiumCouleur,みゅうごろう,200,2
33,MasochistUpbringing,雨後清水,200,2
34,神宿る山脈,アンデス神,200,2
35,ギルドの倉庫Yd10295,とろっとろロト,200,2
36,ママさんバレー部,waraka,200,2
37,復帰者の集い,darkfy,200,2
38,月の歌,るっぴぃ,197,2
39,Hermit,今日は月曜日,183,2
40,Princess_Armed_Forces,嵐テンテン,140,2
