,サマナー,ぷーちゃん♪,1489,5
2位,,ビショップ,狼輝,1480,5
3位,,ランサー,ワユ,1473,5
4位,,アーチャー,さなっしー,1467,5
5位,,ランサー,趣味は・・・矢,1461,5
6位,,闘士,あなたのハートに,1459,5
7位,,霊術師,ちんき。,1459,5
8位,,黒魔術師,アーリア。,1458,5
9位,,獣人,ｹﾓ蔵,1452,5
10位,,戦士,地方都市のﾒﾒﾝﾄﾓﾘ,1451,5
11位,,獣人,解離,1450,5
12位,,剣士,RAD大好き,1450,5
13位,,プリンセス,Le・Ciel,1449,5
14位,,剣士,AnotherOrion,1446,5
15位,,黒魔術師,￡Gazelle,1442,5
16位,,武道家,岡部_誠,1442,5
17位,,悪魔,えんまねこ,1440,5
18位,,アーチャー,くりゅ,1440,5
19位,,ランサー,わかまつあいな,1439,5
20位,,プリンセス,やっくる♪,1438,5
21位,,獣人,tantan_13,1431,5
22位,,霊術師,舞牡丹,1431,5
23位,,武道家,暇潰＠引退,1431,5
24位,,戦士,コボルト秘密ULT,1430,5
25位,,アルケミスト,tantan_01,1429,5
26位,,ランサー,狗神めありー,1429,5
27位,,武道家,さらまんだーγ,1426,5
28位,,霊術師,鬼一家の霊術師,1422,5
29位,,ランサー,藤井聡太,1422,5
30位,,アーチャー,＄神様家族＄,1421,5
31位,,武道家,ヒャム,1421,5
32位,,プリンセス,未美凛,1419,5
33位,,アーチャー,紙ねろ,1419,5
34位,,ウィザード,9rpm,1419,5
35位,,ランサー,バジル・ユバ,1417,5
36位,,ビショップ,究ﾎﾟ極ｲ完ﾎﾟ全ｲ体,1417,5
37位,,黒魔術師,メロメロイド,1415,5
38位,,武道家,はちみつ。,1411,5
39位,,アルケミスト,きれのじろう,1410,5
40位,,戦士,餅の･∀･凍結,1406,5
41位,,霊術師,ボイン姉ちゃん,1405,5
42位,,霊術師,カマキリ令嬢,1404,5
43位,,武道家,神風の隼,1404,5
44位,,武道家,セっツ,1402,5
45位,,武道家,暇つぶ,1400,5
46位,,ランサー,～破幻～,1397,5
47位,,ランサー,愛犬サクラ,1390,5
48位,,ビーストテイマー,フウリン,1385,5
49位,,ビショップ,シル星,1384,5
50位,,黒魔術師,闇卵,1381,5
51位,,プリンセス,おつまみさん,1381,5
52位,,アーチャー,システィール,1374,5
53位,,マスケッティア,ゆゆたそ,1373,5
54位,,ランサー,小豆桔梗,1373,5
55位,,ウィザード,star＠wiz,1372,5
56位,,闘士,☆よなぐに☆,1371,5
57位,,シーフ,＋カイト＋,1361,5
58位,,メイド,つばきひめ,1358,5
59位,,戦士,じみ～,1352,5
60位,,霊術師,ハープちゃん,1350,5
61位,,霊術師,○○○○●,1350,5
62位,,ビショップ,クロウ･300グラム,1348,5
63位,,ランサー,弓兵頭,1344,5
64位,,ランサー,ｱｼﾝﾒﾄﾘｰ,1344,5
65位,,ウィザード,ｂｏｗ‐ｗｏｗ,1340,5
66位,,剣士,DragonTwi☆ミ,1339,5
67位,,シーフ,勃起,1337,5
68位,,サマナー,みゅうごろう,1336,5
69位,,ランサー,ラッキーやなすけ,1333,5
70位,,剣士,わんくろ,1331,5
71位,,獣人,UltimateRAD,1330,5
72位,,ランサー,べろちゅっちゅ,1330,5
73位,,アーチャー,20％Over,1320,5
74位,,シーフ,るてさん。,1320,5
75位,,追放天使,避妊はおしりで,1320,5
76位,,ウィザード,イフリィート,1314,5
77位,,シーフ,ぷいきゅあ～,1308,5
78位,,ウィザード,MBMM１２,1308,5
79位,,ランサー,城咲ロミオ,1305,5
80位,,追放天使,【ポッセ】,1304,5
81位,,剣士,☆シグマワイ,1304,5
82位,,黒魔術師,ひらぺん,1302,5
83位,,霊術師,tantan_08,1300,5
84位,,プリンセス,StoPBlTch,1300,5
85位,,ウィザード,業者,1300,5
86位,,アーチャー,〝AIO〟,1296,5
87位,,剣士,ﾄﾞﾔ顔の達人。,1293,5
88位,,武道家,legel,1291,5
89位,,アルケミスト,EquilibrioAlba,1290,5
90位,,プリンセス,Harmonie,1290,5
91位,,追放天使,真ﾉ天使（ｵﾄｺ）,1290,5
92位,,悪魔,濁湯馬鈴薯,1288,5
93位,,ランサー,ｼﾞｪﾌﾃｨ,1287,5
94位,,剣士,DTゆうや,1287,5
95位,,リトルウィッチ,RelMayer,1284,5
96位,,追放天使,ﾀｲｶﾞｰﾒﾛﾝ,1284,5
97位,,黒魔術師,鬼一家の黒魔,1283,5
98位,,アーチャー,gurai,1283,5
99位,,武道家,ラカリフサの村長,1280,5
100位,,戦士,ポロさん,1280,5
101位,,黒魔術師,いぼのじろう,1279,5
102位,,武道家,カピカピのおもち,1278,5
103位,,武道家,あとぅむ,1277,5
104位,,ウィザード,Manstyle,1275,5
105位,,黒魔術師,狼妖,1274,5
106位,,武道家,towaco．,1273,5
107位,,獣人,おーいえ,1271,5
108位,,武道家,sunafu,1270,5
109位,,武道家,瑞雲改二,1269,5
110位,,光奏師,一色菫,1268,5
111位,,霊術師,watta_gra,1268,5
112位,,アーチャー,ムロモン,1268,5
113位,,霊術師,ぶろんずごりら,1267,5
114位,,ウィザード,創造神皇ダニエル,1267,5
115位,,霊術師,芋がいい,1266,5
116位,,霊術師,狼闘,1265,5
117位,,戦士,§Alexandrite§,1264,5
118位,,ランサー,ネオン♪゛,1263,5
119位,,ランサー,Spallow_Tail,1262,5
120位,,アーチャー,ねこみみ弐号,1261,5
121位,,アーチャー,微笑のテレサ,1261,5
122位,,戦士,くびら,1261,5
123位,,アーチャー,Lanval,1260,5
124位,,シーフ,攻めがわ,1259,5
125位,,戦士,シュガ♪,1259,5
126位,,獣人,PiPiPuRi,1258,5
127位,,武道家,ココナッツン,1258,5
128位,,獣人,ゆゆちゃ,1257,5
129位,,ランサー,ふぁみりった,1257,5
130位,,闘士,アンヘル＿,1256,5
131位,,リトルウィッチ,かなぷる親父号,1256,5
132位,,アーチャー,シルスフィ,1256,5
133位,,ランサー,望みし永遠の混沌,1256,5
134位,,追放天使,ServerDown,1256,5
135位,,霊術師,ふーにゃ,1255,5
136位,,剣士,カナト,1255,5
137位,,戦士,こるじょん,1254,5
138位,,霊術師,ロッソ・ネロ,1253,5
139位,,霊術師,℃hantsumi,1253,5
140位,,武道家,まるゴキ,1253,5
141位,,追放天使,Xenn,1253,5
142位,,剣士,ロビンフッド☆,1253,5
143位,,プリンセス,みけぼん,1252,5
144位,,プリンセス,鬼一家の姫,1252,5
145位,,ビーストテイマー,waspinator,1252,5
146位,,シーフ,だいこくてん,1252,5
147位,,ビショップ,☆ショップ☆,1252,5
148位,,ウィザード,しゃいん･れい,1252,5
149位,,アルケミスト,Crewd,1250,5
150位,,獣人,狼煌,1250,5
151位,,武道家,隠れ里,1250,5
152位,,シーフ,September☆7th,1250,5
153位,,剣士,monaka先生,1250,5
154位,,ランサー,†Y4Z4K1†ATSU†,1249,5
155位,,光奏師,kicky,1247,5
156位,,ウィザード,残兵首領,1247,5
157位,,ランサー,ﾗﾐｰﾉｰｽﾞﾃﾄﾗ,1245,5
158位,,シーフ,ジェシ‐おいたん,1244,5
159位,,黒魔術師,ふに゜,1243,5
160位,,ランサー,peace。,1243,5
161位,,武道家,宅見,1242,5
162位,,闘士,〝ανα〟,1240,5
163位,,武道家,うりゅうううう,1240,5
164位,,ランサー,ちょめ助,1238,5
165位,,戦士,MurderMan,1236,5
166位,,リトルウィッチ,お寿司4,1235,5
167位,,剣士,Asley_Cade,1235,5
168位,,ウィザード,大動脈瘤,1234,5
169位,,追放天使,ごるでん,1232,3
170位,,戦士,魔じぇ,1231,5
171位,,戦士,カトリ。,1231,5
172位,,アルケミスト,きれじの妹,1230,5
173位,,剣士,Graaazie,1230,5
174位,,ウルフマン,TAKUGON,1229,5
175位,,リトルウィッチ,～ジェス～,1227,5
176位,,リトルウィッチ,くりゅう,1224,5
177位,,武道家,マンナンライフ３,1224,5
178位,,ウルフマン,ﾓｼﾞｬﾓｼﾞｬおじさん,1224,5
179位,,武道家,ノアだけはガチ,1223,5
180位,,霊術師,ちんき２,1222,5
181位,,ウィザード,♪復活レオン555,1222,5
182位,,ビショップ,（＝ω＝安,1221,5
183位,,黒魔術師,meden,1220,5
184位,,リトルウィッチ,花咲乙女達の影に,1220,5
185位,,リトルウィッチ,岡部誠∵,1220,5
186位,,アーチャー,ぴちゃ,1220,5
187位,,ランサー,くまもん♪,1220,5
188位,,ウィザード,akimasaだよ。,1220,5
189位,,霊術師,bakkyiii,1218,5
190位,,ウルフマン,忠義の狗爪ココ,1218,5
191位,,剣士,swordko,1218,5
192位,,光奏師,四ツ矢丸,1217,5
193位,,サマナー,NEOぷーちゃん,1217,5
194位,,リトルウィッチ,pomm,1216,5
195位,,アーチャー,ゆるふわ系,1216,5
196位,,シーフ,瞬影,1216,5
197位,,黒魔術師,日影アゲハ,1214,5
198位,,霊術師,ナツメグ。,1214,5
199位,,霊術師,ψ七ちψ,1213,5
200位,,ビーストテイマー,karu_g,1213,5
201位,,ウルフマン,フラウボー,1213,5
202位,,戦士,アダマンティン,1212,5
203位,,黒魔術師,ヴァシリッサ,1210,5
204位,,プリンセス,蛍猫姫♪,1210,5
205位,,ランサー,記録の地平線,1210,5
206位,,戦士,ローザパークス,1210,5
207位,,霊術師,bycm,1209,5
208位,,リトルウィッチ,Artesano,1209,5
209位,,獣人,べーやまぁ,1208,5
210位,,ビーストテイマー,∬ルシフェリア∬,1208,5
211位,,ランサー,つば○,1208,5
212位,,ウルフマン,琥炭,1208,5
213位,,霊術師,ﾈｸﾛ。,1207,5
214位,,リトルウィッチ,狼妃,1207,5
215位,,獣人,山佐の獣撃,1206,5
216位,,リトルウィッチ,Liaison,1206,5
217位,,霊術師,Gazelle_yui,1205,5
218位,,ランサー,ちはるちゃんん,1205,5
219位,,武道家,隻眼盗賊,1205,5
220位,,アーチャー,Amstel,1204,5
221位,,光奏師,Nigelle,1203,5
222位,,シーフ,旗振りたぬき,1203,5
223位,,ビショップ,神聖桜,1203,5
224位,,獣人,towaco．β,1202,5
225位,,アーチャー,凛ver弓,1202,5
226位,,武道家,比企谷はちまん,1202,5
227位,,ビショップ,ダーグル,1202,5
228位,,サマナー,シルドレ,1201,5
229位,,ランサー,covid,1201,5
230位,,シーフ,Melttykiss☆,1201,5
231位,,武道家,ねこぱんつ,1201,3
232位,,黒魔術師,みるきちん,1200,5
233位,,プリンセス,魔凜,1200,5
234位,,アーチャー,イリナ。,1200,5
235位,,アーチャー,魚有,1200,5
236位,,アーチャー,￡impulse￡,1200,5
237位,,武道家,モリタン♪,1200,5
238位,,シーフ,WELLBE,1200,5
239位,,ビショップ,って、おい！,1200,5
240位,,ビショップ,†御殴裏隙打郎†,1200,5
241位,,悪魔,幻魔狼士,1197,5
242位,,サマナー,nerumo,1197,5
243位,,ランサー,眠神☆ヒュノプス,1197,5
244位,,シーフ,めぎぃ,1197,5
245位,,マスケッティア,akubo,1196,5
246位,,リトルウィッチ,アクアマナ,1195,5
247位,,ランサー,あいこすまるち,1191,5
248位,,追放天使,☆志音☆,1191,5
249位,,霊術師,いんだら,1190,5
250位,,プリンセス,ファーナ。,1189,5
251位,,アーチャー,アバハラキ,1189,5
252位,,アーチャー,花鳥くん,1189,5
253位,,シーフ,温泉ソムリエ,1189,5
254位,,追放天使,じぇにどん,1189,5
255位,,武道家,ぺしゅん,1189,4
256位,,ランサー,Ａ・シャリアール,1188,5
257位,,シーフ,バイフリッツ,1188,5
258位,,獣人,ナオタ！！！！！,1187,5
259位,,ウィザード,Lenard,1187,5
260位,,闘士,＊stitch＊,1186,5
261位,,ランサー,雷蓮,1185,5
262位,,戦士,捨ノ型・生生流転,1185,5
263位,,獣人,∮シルク∮,1183,5
264位,,リトルウィッチ,上下左右回転使い,1183,5
265位,,ランサー,ko_san,1183,5
266位,,アーチャー,となてぃう,1182,5
267位,,武道家,backnumber大好き,1182,5
268位,,シーフ,nanakusa,1182,5
269位,,戦士,Destron,1182,5
270位,,ウルフマン,ふろーる犬,1181,5
271位,,戦士,５㍉,1181,5
272位,,黒魔術師,FrouFrou,1180,5
273位,,剣士,rotarisl,1180,5
274位,,獣人,役満チャンス,1179,5
275位,,アーチャー,シャイえんまねこ,1179,5
276位,,ランサー,とっぽぎの踊り子,1179,5
277位,,ランサー,。ゆーにゃ。,1178,5
278位,,悪魔,か～ら,1176,5
279位,,戦士,はるたそ,1175,5
280位,,霊術師,キッコーマソ,1174,5
281位,,アーチャー,ranko_star,1174,5
282位,,ウィザード,隻眼の魔術師,1174,5
283位,,剣士,風小僧,1174,5
284位,,黒魔術師,アマランテ,1173,5
285位,,リトルウィッチ,いろどりぴんく,1173,5
286位,,シーフ,すた３,1173,5
287位,,追放天使,Cens,1173,5
288位,,戦士,ここぷ,1172,5
289位,,霊術師,まえがちゃん,1171,5
290位,,獣人,卍gotcha卍,1169,5
291位,,アーチャー,star＠弓,1169,5
292位,,剣士,ﾀﾞｰﾄﾃﾄﾗ,1169,5
293位,,追放天使,グッロチ,1166,5
294位,,追放天使,イキり大学生,1166,5
295位,,ランサー,グレープジュース,1165,5
296位,,ウィザード,Bィザード,1165,5
297位,,黒魔術師,exiatence4,1164,5
298位,,ランサー,nonameさん,1164,5
299位,,悪魔,魔法の壁,1163,5
300位,,光奏師,ひひまま,1162,5
301位,,武道家,kabeちゃん,1162,5
302位,,黒魔術師,雪野凜檎,1161,5
303位,,プリンセス,不安㍑,1161,5
304位,,アーチャー,nebosuke,1161,5
305位,,黒魔術師,ψ芽亜ψ,1160,5
306位,,ランサー,Vendome,1159,5
307位,,悪魔,Almagest,1158,5
308位,,アーチャー,§美影意志§,1158,5
309位,,シーフ,てけぞー,1158,5
310位,,シーフ,鬼一家,1158,5
311位,,武道家,かみまみ,1156,5
312位,,追放天使,にゃんたきー,1156,5
313位,,プリンセス,伊吹姫奈,1155,5
314位,,霊術師,メラメライド,1154,5
315位,,武道家,カエルくん。,1154,5
316位,,リトルウィッチ,ぷりめろろ,1153,5
317位,,ウルフマン,tantan_39,1153,5
318位,,シーフ,漣鎖,1151,5
319位,,ウィザード,nayaata,1151,5
320位,,闘士,Ⅷ秋桜Ⅷ,1150,5
321位,,プリンセス,びびぷりん,1150,5
322位,,武道家,怪盗るぱんⅢ,1148,5
323位,,武道家,ホブス☆次男,1148,5
324位,,戦士,RED_ORCA,1147,5
325位,,アーチャー,卵槍,1146,5
326位,,ランサー,あるもんて,1145,5
327位,,霊術師,‐MIYU‐,1144,5
328位,,サマナー,ちくわまる,1142,5
329位,,ランサー,青なな,1142,5
330位,,剣士,くろしば,1142,5
331位,,リトルウィッチ,らいみん,1141,5
332位,,武道家,いもむし♪,1140,5
333位,,黒魔術師,紫りのん,1138,5
334位,,剣士,マイシャローナ,1138,5
335位,,剣士,WEDGWOOD,1136,5
336位,,獣人,JimmyHoffa,1135,5
337位,,霊術師,ﾎﾟｶﾎﾝﾀｽ,1134,5
338位,,ランサー,えいしぐ,1134,5
339位,,シーフ,じゅえちゃん,1134,5
340位,,黒魔術師,Lime。,1133,5
341位,,サマナー,帝愛会長,1133,5
342位,,獣人,uwiclo,1132,5
343位,,光奏師,わべ助,1132,5
344位,,ランサー,Tummy,1132,5
345位,,悪魔,よなくま,1131,5
346位,,サマナー,ほっかほか,1131,5
347位,,ランサー,A・シャリアール,1130,5
348位,,ランサー,パーニャ,1130,5
349位,,ウィザード,hinaru,1129,5
350位,,光奏師,monaちゃん,1128,5
351位,,シーフ,シッフー,1128,5
352位,,サマナー,笛吹奏,1127,5
353位,,霊術師,吉田沙保里のASMR,1126,5
354位,,アーチャー,イリス・エリス,1126,5
355位,,ランサー,†微笑のテレサ†,1126,5
356位,,武道家,軍隊長,1126,5
357位,,ビショップ,アタックチャンス,1126,5
358位,,ランサー,カヤちゃん,1125,5
359位,,光奏師,My☆Dear,1124,5
360位,,獣人,Gazelle_tim,1123,5
361位,,追放天使,鬼一家の天使,1122,5
362位,,マスケッティア,ズックにロック,1121,5
363位,,黒魔術師,黒魔さん,1121,5
364位,,リトルウィッチ,プッチン・プリン,1121,5
365位,,ランサー,ジンランサー,1120,5
366位,,獣人,Leffe,1118,5
367位,,武道家,BLAAKSHOUT,1116,5
368位,,黒魔術師,あざといたぬき,1115,5
369位,,追放天使,Largus,1115,5
370位,,プリンセス,早見,1114,5
371位,,ウィザード,t_e_i,1113,5
372位,,黒魔術師,黒蒼穹,1111,5
373位,,ランサー,ことちゃん,1111,5
374位,,武道家,あいこすぅ,1111,5
375位,,シーフ,shinki3,1110,5
376位,,武道家,yamada3000,1109,5
377位,,戦士,オコノ,1108,5
378位,,剣士,covid4,1108,5
379位,,光奏師,賀喜,1107,5
380位,,獣人,ブルーなしゅり,1106,5
381位,,シーフ,ⅹ金龍ⅹ,1106,5
382位,,ランサー,流星の猫,1105,5
383位,,闘士,ぷちゅあ,1103,5
384位,,サマナー,～可憐～,1102,5
385位,,サマナー,キャロりん,1102,5
386位,,獣人,DearMyWaker,1101,5
387位,,剣士,いぬかみぴぇん,1100,5
388位,,ランサー,３１７７３,1098,5
389位,,武道家,ice1,1098,5
390位,,ウルフマン,ざぶとん☆,1096,5
391位,,プリンセス,七槻四季,1093,3
392位,,ランサー,洋食焼き,1090,5
393位,,ランサー,ニャ－さん,1090,5
394位,,追放天使,無我夢中♪,1090,5
395位,,戦士,カミソン,1090,5
396位,,ランサー,BLAKooL,1089,5
397位,,ランサー,chanpe,1089,5
398位,,リトルウィッチ,ネオロック,1087,5
399位,,武道家,ふゆさんまん,1086,5
400位,,剣士,RORONOA＋ZORO,1086,5
401位,,リトルウィッチ,ちゃぷりこん,1085,5
402位,,武道家,ぢょんさん,1084,5
403位,,獣人,肋木,1083,5
404位,,戦士,オソマ,1083,5
405位,,霊術師,双七,1082,5
406位,,ランサー,とこよ,1082,5
407位,,シーフ,Pokerhero,1082,5
408位,,追放天使,ひまつぶC,1082,5
409位,,光奏師,新しい世界への扉,1081,5
410位,,ウィザード,ひろぽんwiz,1080,5
411位,,霊術師,アミリア´,1079,5
412位,,光奏師,小年,1077,5
413位,,霊術師,Leccee,1077,5
414位,,追放天使,茶蕎麦,1076,5
415位,,獣人,EinherjarAlbedo,1075,5
416位,,ランサー,タウリエル,1075,5
417位,,メイド,マッドストーム,1074,5
418位,,ランサー,††紫電一閃††,1074,5
419位,,剣士,ZODIAC6168,1072,5
420位,,リトルウィッチ,イチゴ大福姫,1071,5
421位,,ランサー,梅酒ソーダ,1071,5
422位,,ビショップ,chinki,1070,5
423位,,獣人,間衣華,1069,3
424位,,光奏師,緑茶一筋,1068,5
425位,,霊術師,どうもありがとう,1068,5
426位,,リトルウィッチ,変身ロボ,1068,5
427位,,アーチャー,アゼルマ,1068,5
428位,,獣人,キリン丸,1065,5
429位,,アーチャー,てんち♪,1064,5
430位,,ウルフマン,シャルダ,1063,5
431位,,ウィザード,のんた～ん,1063,5
432位,,戦士,じょなす,1063,5
433位,,剣士,DSKO156,1063,5
434位,,リトルウィッチ,クロカ,1063,3
435位,,プリンセス,未來♪,1062,5
436位,,ビショップ,ヘヴンリイージス,1062,5
437位,,ランサー,お、,1061,5
438位,,獣人,岡_部_誠,1060,5
439位,,プリンセス,evian1_5,1060,5
440位,,サマナー,はなおとめ,1060,5
441位,,獣人,白銀の威虎リオン,1059,5
442位,,ウィザード,ｖウィザード,1059,5
443位,,光奏師,xiviler,1058,5
444位,,追放天使,殴って候,1057,5
445位,,ウィザード,Gazelle_sup,1057,5
446位,,剣士,戦士ちゃま,1057,5
447位,,獣人,不良少年,1056,5
448位,,悪魔,ﾋﾟｰｽ☆,1056,5
449位,,ランサー,sherry,1054,5
450位,,武道家,地下室,1054,5
451位,,武道家,ろっきんぽ,1054,5
452位,,光奏師,へくまr,1053,5
453位,,霊術師,ほむぅ,1053,5
454位,,リトルウィッチ,いなっぴー,1053,5
455位,,獣人,けもぉ,1052,5
456位,,アーチャー,くろまS,1052,5
457位,,マスケッティア,のりてぃ,1051,5
458位,,ウルフマン,毛玉ワンコ,1051,5
459位,,光奏師,anipo,1050,5
460位,,戦士,ｷｰｽ･ｶｲ,1050,5
461位,,ウルフマン,J･Lal,1049,5
462位,,シーフ,飛ばねぇブタ,1048,5
463位,,ランサー,ARGO,1047,5
464位,,シーフ,山佐花月,1046,5
465位,,シーフ,うりゅりん♂,1046,5
466位,,アーチャー,梨莉子,1045,5
467位,,ウィザード,伊勢守,1045,5
