順位,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,1807,5
2,-,,つよみん,1803,5
3,-,,武神゜,1800,5
4,-,,ﾏｰｺﾞｯﾄ,1798,5
5,-,,∬purposefire∬,1794,5
6,-,,五十嵐由貴,1793,5
7,-,,HIMAMA,1790,5
8,-,,らぶのーと♪,1784,5
9,-,,neon43,1782,5
10,-,,Mysh,1779,5
11,-,,pikashu,1774,5
12,-,,腰痛の爺,1773,5
13,-,,八番手,1773,5
14,-,,きゃぴ☆,1768,5
15,-,,syouitirou,1767,5
16,-,,砂の果実,1765,5
17,-,,筋肉もり男,1764,5
18,-,,ブレイブスカイ,1763,5
19,-,,amagon,1763,5
20,-,,戦慄のおっさん,1758,5
21,-,,Lionel・MessiⅡ,1757,5
22,-,,AllRangeClear☆,1753,5
23,-,,ゆめごん,1753,5
24,-,,☆セントレア☆,1751,5
25,-,,DarkGradation,1751,5
26,-,,高天原ゆとり,1750,5
27,-,,bitaminn,1746,5
28,-,,クレモル,1745,5
29,-,,♪レナ♪,1744,5
30,-,,トリクシー,1744,5
31,-,,錨輝く鮎,1743,5
32,-,,Lightperformer,1742,5
33,-,,gingingin,1738,5
34,-,,ＬＡ：ＮＡ,1737,5
35,-,,δsnowδ,1736,5
36,-,,れっどしーふ,1735,5
37,-,,WildCandy♪,1734,5
38,-,,お試しください♪,1734,5
39,-,,リンチェンコ,1734,5
40,-,,小作人,1733,5
41,-,,だるま親方♪,1733,5
42,-,,岡島タエ子,1732,5
43,-,,醤油取って,1730,5
44,-,,平岡智世,1729,5
45,-,,魔女の使いジジ,1729,5
46,-,,∬Veloce∬,1728,5
47,-,,Mｉnelva,1727,5
48,-,,お嫁においでよ〆,1727,5
49,-,,啓士郎,1726,5
50,-,,リヤっち,1726,5
