,-,職業,キャラクター,レベル,転生回数
1,-,,愛犬サクラ,2000,5
2,-,,ぷーちゃん♪,2000,5
3,-,,狼輝,2000,5
4,-,,しらたま団子ＬＬ,2000,5
5,-,,カマキリ令嬢,2000,5
6,-,,UnBiR,2000,5
7,-,,とろっとろ牛すじ,2000,5
8,-,,アーリア。,1991,5
9,-,,おーいえ,1987,5
10,-,,お～い恋茶,1978,5
11,-,,りんじょー,1977,5
12,-,,シル星,1941,5
13,-,,ループド,1940,5
14,-,,あざといたぬき,1936,5
15,-,,DXUキャプテンUSA,1935,5
16,-,,みゅうごろう,1931,5
17,-,,【ポッセ】,1931,5
18,-,,レバナス父ちゃん,1925,5
19,-,,鷸榧,1921,5
20,-,,らっきーよだすけ,1918,5
21,-,,katsuxxx,1911,5
22,-,,あなたのハートに,1909,5
23,-,,yamada3000,1907,5
24,-,,伊勢七海,1906,5
25,-,,ﾙﾙｰｼｭ・ﾗﾝﾍﾟﾙｰｼﾞ,1906,5
26,-,,ねこみみ弐号,1904,5
27,-,,＋カイト＋,1902,5
28,-,,Narmaya,1901,5
29,-,,ひさめっち,1896,5
30,-,,§エス§,1894,5
31,-,,darkfy,1891,5
32,-,,〝AIO〟,1889,5
33,-,,捨ノ型・生生流転,1888,5
34,-,,獣☆ホブス,1887,5
35,-,,弓兵頭,1874,5
36,-,,MariaDB,1868,5
37,-,,ぼのの,1868,5
38,-,,メリデ♪,1866,5
39,-,,サトノレイナス,1865,5
40,-,,狛狗,1857,5
41,-,,covid,1854,5
42,-,,ぬりぼう,1848,5
43,-,,IEnaI,1847,5
44,-,,Vitamin3000,1846,5
45,-,,Amstel,1844,5
46,-,,か～ら,1844,5
47,-,,光のボウリング,1844,5
48,-,,ψ七ちψ,1842,5
49,-,,たこち,1839,5
50,-,,風の歌,1837,5
