,-,職業,キャラクター,レベル,転生回数
1,-,,non1341,1500,5
2,-,,うに姫。,1500,5
3,-,,ていたらく,1500,5
4,-,,ねこのて,1500,5
5,-,,捨てキング,1500,5
6,-,,塵地螺鈿飾剣,1500,5
7,-,,Maki,1500,5
8,-,,ELGIN,1500,5
9,-,,みお＊,1500,5
10,-,,レジェンド左橋,1484,5
11,-,,魔女のお茶会,1476,5
12,-,,penta,1469,5
13,-,,ソムリエ,1453,5
14,-,,seef,1452,5
15,-,,ジェノ氏,1450,5
16,-,,蒼佑,1449,5
17,-,,みどりん,1447,5
18,-,,YUJIN,1440,5
19,-,,うーたろう,1439,5
20,-,,CM砲撃マジカル,1417,5
21,-,,takasaki,1416,5
22,-,,キャノンψ,1410,5
23,-,,ドロップに期待,1409,5
24,-,,saburu1,1404,5
25,-,,ジェット天秤,1400,5
26,-,,ノワール・ヴィ,1398,5
27,-,,甘栗うまい！,1389,5
28,-,,海月さん,1388,5
29,-,,DEATHNOTE,1387,5
30,-,,Govou,1387,5
31,-,,code,1385,5
32,-,,タヌキ,1380,5
33,-,,野獣と化した先輩,1379,5
34,-,,ζｃanotarosζ,1379,5
35,-,,神奈備命,1378,5
36,-,,漆黒,1378,5
37,-,,忍野忍,1373,5
38,-,,トルテ,1373,5
39,-,,zizizizi,1369,5
40,-,,ぷりちーこ,1368,5
41,-,,えるふぁいやー！,1367,5
42,-,,YUSA,1367,5
43,-,,Bぐり,1366,5
44,-,,GP03ﾃﾞﾝﾄﾞﾛﾋﾞｳﾑ,1366,5
45,-,,黙れドン太郎,1364,5
46,-,,強キ者,1363,5
47,-,,快活の原罪,1362,5
48,-,,やわやわ戦車,1362,5
49,-,,Rusalka,1362,5
50,-,,apecano,1361,5
